id,url
1,https://open.spotify.com/episode/5NJL5skDDiHzkyIVAWMi1P?si=1d6658950b93427b
2,https://open.spotify.com/episode/7ka19EzgVe2PhvmQYh55bE?si=8781548c82b146e5
3,https://open.spotify.com/episode/1xwm87MltT3dMOjXK8fCD7?si=fd9c0bbdc7e14753
4,https://open.spotify.com/episode/6djRATdjrPqUpFvS1SXUEt?si=ffd3852b4b984013
5,https://vimeo.com/769676464
6,https://open.spotify.com/show/5P3uXhpfC8kSLVCRRkgGnj
7,https://vimeo.com/766879438
8,https://vimeo.com/715142990
9,https://vimeo.com/703795568
10,https://vimeo.com/706729968
11,https://vimeo.com/675837614
12,https://vimeo.com/673722066
13,https://vimeo.com/652884735
14,https://open.spotify.com/episode/3n1gVY2W7mGTVwb47DsS81?si=0h0AURWHRpWH1zBGsBACAg
15,https://open.spotify.com/episode/4FEY5i0HsQdY9OfQzVQBdN?si=Pxdvo5A_R9ygtyNsg3Ch4A
16,https://open.spotify.com/episode/1xwm87MltT3dMOjXK8fCD7?si=UYDgEUJNTXydgX44QIOXdg
17,https://open.spotify.com/episode/0HrXdGz5mDHE2DrtJLhVKh?si=AmrZ3tgpTJ-oVJzgKgNBdw
18,https://open.spotify.com/episode/2nKFKu3j8k9IrZSuefATOp?si=zIX1FBX1TQa3VQKLarsbDA
19,https://open.spotify.com/episode/2zPZPktysjOQFD3TIDxbSZ?si=0271bf0ddcb547f6
